Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 0-4,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Citywide,2018,Chicago,2705988,548999,552935,456321,336457,312965,262991,155334,79986,168114,204152,175475,2537874,2156989,349712,1386113,1319875,776661,179841,784266,899980,119467,Citywide-Chicago-2018
ZIP Code,2018,60601,14675,820,4606,2792,2190,1333,1340,1272,322,550,,,14125,13855,2075,7484,7191,1274,,,9677,,ZIP_Code-60601-2018
ZIP Code,2018,60602,1244,149,435,462,135,53,10,0,0,61,,,1183,1095,5,551,693,81,,,788,,ZIP_Code-60602-2018
ZIP Code,2018,60603,1174,56,561,101,97,197,97,65,0,13,,,1161,1118,112,601,573,115,,,707,,ZIP_Code-60603-2018
ZIP Code,2018,60604,782,38,303,104,51,101,130,50,5,12,,,770,744,93,413,369,34,,,479,,ZIP_Code-60604-2018
ZIP Code,2018,60605,27519,2260,8103,6316,3567,3344,2455,1204,270,837,,,26682,25259,2569,14381,13138,1608,,,15781,,ZIP_Code-60605-2018
ZIP Code,2018,60606,3101,101,750,861,465,321,514,89,0,57,,,3044,3000,431,1599,1502,195,,,2129,,ZIP_Code-60606-2018
ZIP Code,2018,60607,29591,3350,11384,7522,3048,1981,1321,632,353,1660,,,27931,26241,1604,14867,14724,2457,,,15440,,ZIP_Code-60607-2018
ZIP Code,2018,60608,79205,14910,20255,14382,10013,8234,6440,3119,1852,4186,,,75019,64295,7852,35360,43845,40146,,,15148,,ZIP_Code-60608-2018
ZIP Code,2018,60609,61495,16600,12450,8451,7324,7061,5176,3378,1055,4820,,,56675,44895,6977,31225,30270,32860,,,9172,,ZIP_Code-60609-2018
ZIP Code,2018,60610,39019,3565,11398,8786,3667,3369,4242,2939,1053,1845,,,37174,35454,6029,21145,17874,2601,,,26809,,ZIP_Code-60610-2018
ZIP Code,2018,60611,32426,1638,7544,7215,2478,3937,4785,3267,1562,892,,,31534,30788,7079,17219,15207,1701,,,23167,,ZIP_Code-60611-2018
ZIP Code,2018,60612,34311,8160,7877,5806,4012,3889,2746,1209,612,2385,,,31926,26151,3136,17631,16680,4206,,,7334,,ZIP_Code-60612-2018
ZIP Code,2018,60613,50113,5793,14643,12674,5748,4958,3187,1880,1230,2555,,,47558,44320,4429,24908,25205,5662,,,36600,,ZIP_Code-60613-2018
ZIP Code,2018,60614,71308,9924,24906,14595,7345,5770,4930,2536,1302,3908,,,67400,61384,6179,35363,35945,4317,,,56762,,ZIP_Code-60614-2018
ZIP Code,2018,60615,41563,6673,11046,6725,4549,4288,4323,2506,1453,2006,,,39557,34890,6022,22423,19140,2573,,,10984,,ZIP_Code-60615-2018
ZIP Code,2018,60616,54464,8215,11692,9486,6755,6620,6221,3303,2172,2457,,,52007,46249,8683,28657,25807,4600,,,13160,,ZIP_Code-60616-2018
ZIP Code,2018,60617,82534,21337,14040,8927,10660,10625,7611,5733,3601,5105,,,77429,61197,12791,44374,38160,31079,,,5215,,ZIP_Code-60617-2018
ZIP Code,2018,60618,94395,20478,16967,19950,14365,10161,6948,3432,2094,6916,,,87479,73917,8526,46244,48151,38152,,,45553,,ZIP_Code-60618-2018
ZIP Code,2018,60619,61258,13004,9237,7612,6708,9315,8378,3953,3051,3911,,,57347,48254,10410,33577,27681,869,,,854,,ZIP_Code-60619-2018
ZIP Code,2018,60620,68096,14684,11375,7287,8437,10136,7482,5062,3633,3563,,,64533,53412,11842,38095,30001,911,,,755,,ZIP_Code-60620-2018
ZIP Code,2018,60621,29042,7810,5183,3250,2926,4073,2897,1739,1164,2504,,,26538,21232,3928,15858,13184,1061,,,320,,ZIP_Code-60621-2018
ZIP Code,2018,60622,52793,8055,14666,15452,6263,3783,2594,1125,855,3540,,,49253,44738,3119,25577,27216,11579,,,34144,,ZIP_Code-60622-2018
ZIP Code,2018,60623,85979,26387,15945,12798,10170,9008,6621,3450,1600,6801,,,79178,59592,7805,44032,41947,56864,,,2508,,ZIP_Code-60623-2018
ZIP Code,2018,60624,36158,11024,6743,4302,4411,4232,2806,1616,1024,3276,,,32882,25134,3922,19252,16906,1915,,,989,,ZIP_Code-60624-2018
ZIP Code,2018,60625,79243,15820,15783,16649,11120,8508,6399,2813,2151,5981,,,73262,63423,7575,39551,39692,25978,,,36086,,ZIP_Code-60625-2018
ZIP Code,2018,60626,49730,8302,12049,9619,6518,5764,4040,2143,1295,2553,,,47177,41428,5031,25148,24582,10252,,,22444,,ZIP_Code-60626-2018
ZIP Code,2018,60628,66724,15513,11827,7029,8502,8953,7216,4984,2700,4153,,,62571,51211,11272,35908,30816,2292,,,1281,,ZIP_Code-60628-2018
ZIP Code,2018,60629,111850,32380,21377,16517,14408,11184,8590,5356,2038,8884,,,102966,79470,11127,57035,54815,79432,,,9203,,ZIP_Code-60629-2018
ZIP Code,2018,60630,57344,11913,7773,8847,7381,8978,6351,3422,2679,3527,,,53817,45431,8738,29455,27889,16007,,,32184,,ZIP_Code-60630-2018
ZIP Code,2018,60631,29529,5985,3662,3896,4358,4127,3549,1897,2055,1875,,,27654,23544,5469,15265,14264,3152,,,24253,,ZIP_Code-60631-2018
ZIP Code,2018,60632,91039,26881,17407,13371,11676,9069,6795,4009,1831,7048,,,83991,64158,8702,44667,46372,76434,,,7996,,ZIP_Code-60632-2018
ZIP Code,2018,60633,12871,2827,2173,1766,1515,2173,1227,765,425,890,,,11981,10044,1676,6085,6786,5790,,,4048,,ZIP_Code-60633-2018
ZIP Code,2018,60634,75995,16581,11044,11242,10440,10766,8425,4638,2859,5026,,,70969,59414,11417,39061,36934,29065,,,41060,,ZIP_Code-60634-2018
ZIP Code,2018,60636,32203,7442,5062,3611,3903,4461,3132,3321,1271,1964,,,30239,24761,6194,16978,15225,2472,,,338,,ZIP_Code-60636-2018
ZIP Code,2018,60637,47454,11552,11606,5984,4834,5367,4549,2253,1309,3182,,,44272,35902,5463,26577,20877,1341,,,6858,,ZIP_Code-60637-2018
ZIP Code,2018,60638,58797,14300,8208,9003,7394,8132,6179,3337,2244,4023,,,54774,44497,8239,29764,29033,30440,,,25612,,ZIP_Code-60638-2018
ZIP Code,2018,60639,90517,24573,16203,13873,12852,10387,7660,3539,1430,6633,,,83884,65944,8137,45508,45009,70538,,,6104,,ZIP_Code-60639-2018
ZIP Code,2018,60640,69715,9545,14152,14142,10576,8963,5970,3574,2793,3256,,,66459,60170,8987,34101,35614,9939,,,38554,,ZIP_Code-60640-2018
ZIP Code,2018,60641,71023,15849,11820,12054,9928,9061,7206,3177,1928,4627,,,66396,55174,7905,36182,34841,38350,,,26008,,ZIP_Code-60641-2018
ZIP Code,2018,60642,20201,2331,6707,5581,2200,1416,1110,585,271,999,,,19202,17870,1322,10092,10109,4074,,,12126,,ZIP_Code-60642-2018
ZIP Code,2018,60643,49870,11082,6126,5627,6451,8105,5905,3706,2868,3134,,,46736,38788,9153,27232,22638,1649,,,10138,,ZIP_Code-60643-2018
ZIP Code,2018,60644,47712,12336,9394,5857,5261,6048,4851,2517,1448,3623,,,44089,35376,6201,25669,22043,3068,,,1392,,ZIP_Code-60644-2018
ZIP Code,2018,60645,47732,12906,7091,6952,5824,5468,5064,2621,1806,4329,,,43403,34826,6564,23992,23740,8127,,,21481,,ZIP_Code-60645-2018
ZIP Code,2018,60646,27987,6000,3377,3458,3787,4086,3238,2108,1933,1802,,,26185,21987,5732,14765,13222,3971,,,20315,,ZIP_Code-60646-2018
ZIP Code,2018,60647,87509,16298,22356,20993,11055,7700,5309,2695,1103,5924,,,81585,71211,6224,43182,44327,39226,,,38809,,ZIP_Code-60647-2018
ZIP Code,2018,60649,46024,10493,7505,6417,5950,5706,5593,2807,1553,3215,,,42809,35531,6570,26852,19172,1183,,,1315,,ZIP_Code-60649-2018
ZIP Code,2018,60651,63218,17329,11457,8910,7649,7391,5787,3359,1336,4780,,,58438,45889,7220,34084,29134,26860,,,2623,,ZIP_Code-60651-2018
ZIP Code,2018,60652,43907,11679,7185,5764,6105,6065,4062,1897,1150,2769,,,41138,32228,4740,23123,20784,17479,,,4472,,ZIP_Code-60652-2018
ZIP Code,2018,60653,31972,8912,4760,4635,4404,3369,3233,1547,1112,2632,,,29340,23060,4122,18269,13703,689,,,1374,,ZIP_Code-60653-2018
ZIP Code,2018,60654,19135,1611,5273,5645,2508,2217,1231,489,161,1164,,,17971,17524,1127,9381,9754,997,,,14124,,ZIP_Code-60654-2018
ZIP Code,2018,60655,28804,7015,4153,3686,3798,4366,3278,1582,926,2026,,,26778,21789,3731,14928,13876,2390,,,23795,,ZIP_Code-60655-2018
ZIP Code,2018,60656,27579,4947,3690,4934,3623,3805,3208,2115,1257,1697,,,25882,22632,4637,13587,13992,3382,,,21053,,ZIP_Code-60656-2018
ZIP Code,2018,60657,70052,8438,23899,17032,7053,5646,4288,2099,1597,3808,,,66244,61614,5618,34638,35414,4901,,,56392,,ZIP_Code-60657-2018
ZIP Code,2018,60659,41068,10154,7449,6165,5198,5372,3730,2043,957,2847,,,38221,30914,4603,20037,21031,7880,,,16363,,ZIP_Code-60659-2018
ZIP Code,2018,60660,43242,5045,10237,8402,5742,5475,4709,2347,1285,1891,,,41351,38197,5741,21705,21537,7728,,,22313,,ZIP_Code-60660-2018
ZIP Code,2018,60661,9926,683,3772,3229,1227,623,369,23,0,447,,,9479,9243,217,4817,5109,640,,,5091,,ZIP_Code-60661-2018
ZIP Code,2018,60666,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,,ZIP_Code-60666-2018
ZIP Code,2018,60707,43019,9285,6546,5958,5818,6006,5111,2582,1713,2292,,,40727,33734,6745,22267,20752,16505,,,20677,,ZIP_Code-60707-2018
ZIP Code,2018,60827,28577,8345,4822,3415,3957,3569,2879,1196,394,2591,,,25986,20232,2763,15666,12911,1222,,,760,,ZIP_Code-60827-2018
Citywide,2019,Chicago,2693959,555424,526788,469300,340219,294864,261009,157790,88565,162797,210448,180859,2531162,2138535,362629,1382528,1311431,776290,184768,768524,901941,62436,Citywide-Chicago-2019
Zip Code,2019,60601,15083,880,5207,2796,2090,970,1733,1154,253,426,237,199,14657,14203,2109,8054,7029,1224,2859,638,9939,423,ZIP_Code-60601-2019
Zip Code,2019,60602,1145,149,207,527,180,66,16,0,0,56,91,0,1089,996,6,506,639,74,245,49,680,97,ZIP_Code-60602-2019
