,Month,DayOfWeek,Hour,District,Crime,Crime Score
44372,12,6,10,31,1,0
40144,11,5,12,31,1,0
25344,7,5,10,31,1,0
13199,4,3,15,31,1,0
42259,12,2,11,31,1,0
31161,9,2,8,31,1,0
22173,6,6,9,31,1,0
27988,8,3,0,31,1,0
27989,8,3,11,31,1,0
24288,7,3,21,31,1,0
7391,2,6,7,31,1,0
1583,1,2,7,31,1,0
26930,8,1,12,31,1,0
36446,10,5,3,31,1,0
27459,8,2,14,31,1,0
27458,8,2,13,31,1,0
41730,12,1,7,31,1,0
12145,4,1,15,31,1,0
30103,9,0,12,31,1,0
16892,5,3,14,31,1,0
25873,7,6,12,31,1,0
37503,11,0,7,31,1,0
21116,6,4,7,31,1,0
23759,7,2,6,31,1,0
22702,7,0,9,31,1,0
34859,10,2,23,31,1,0
2639,1,4,11,31,1,0
4225,2,0,15,31,1,0
35917,10,4,7,31,1,0
35916,10,4,2,31,1,0
43843,12,5,11,31,1,0
30631,9,1,9,31,1,0
28518,8,4,14,31,1,0
30632,9,1,12,31,1,0
12144,4,1,7,31,1,0
32218,9,4,13,31,1,0
6862,2,5,12,31,1,0
3696,1,6,0,31,1,0
41201,12,0,12,31,1,0
8977,3,2,14,31,1,0
8448,3,1,20,31,1,0
11084,3,6,19,25,33,2
36972,10,6,21,25,33,2
25852,7,6,3,25,28,2
25851,7,6,2,25,31,2
36974,10,6,23,25,30,2
25850,7,6,1,25,21,1
36973,10,6,22,25,26,1
11082,3,6,17,25,34,2
11085,3,6,20,25,38,2
25849,7,6,0,25,43,2
6316,2,4,6,25,11,0
11083,3,6,18,25,22,1
11088,3,6,23,25,16,1
11087,3,6,22,25,29,2
11086,3,6,21,25,34,2
6317,2,4,7,25,16,1
25854,7,6,5,25,11,0
25853,7,6,4,25,16,1
25863,7,6,14,25,26,1
25869,7,6,20,25,28,2
25868,7,6,19,25,27,1
41200,12,0,23,25,20,1
25867,7,6,18,25,27,1
25866,7,6,17,25,24,1
25865,7,6,16,25,32,2
25864,7,6,15,25,27,1
25862,7,6,13,25,23,1
11080,3,6,15,25,19,1
25861,7,6,12,25,34,2
25860,7,6,11,25,22,1
25859,7,6,10,25,21,1
25858,7,6,9,25,25,1
25857,7,6,8,25,23,1
25856,7,6,7,25,8,0
25855,7,6,6,25,17,1
11081,3,6,16,25,32,2
11079,3,6,14,25,21,1
25871,7,6,22,25,26,1
11078,3,6,13,25,19,1
22683,7,0,5,25,9,0
22684,7,0,6,25,6,0
22685,7,0,7,25,18,1
22686,7,0,8,25,22,1
36969,10,6,18,25,39,2
36968,10,6,17,25,27,1
22687,7,0,9,25,26,1
22688,7,0,10,25,19,1
36967,10,6,16,25,25,1
22689,7,0,11,25,23,1
22690,7,0,12,25,42,2
22691,7,0,13,25,27,1
22692,7,0,14,25,35,2
22693,7,0,15,25,28,2
22694,7,0,16,25,35,2
22695,7,0,17,25,30,2
36966,10,6,15,25,23,1
22682,7,0,4,25,11,0
22681,7,0,3,25,16,1
22680,7,0,2,25,27,1
11071,3,6,6,25,5,0
11077,3,6,12,25,37,2
11076,3,6,11,25,15,1
