Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
11CP015666,P002161520|P002161521,03/07/2011,POLICE,08/05/2011 11:00:00 AM,9332 S LASALLE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"JP MORGAN CHASE, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.72433163710899,-87.62766855145455,POINT (-87.62766855145455 41.72433163710899)
11CP020396,P002513827,05/04/2011,POLICE,07/01/2011 02:30:00 PM,2107 N SAWYER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Liable - By plea,100.00,0.00,0.00,0.00,0.00,140.00,280.00,-140.00,41.919468897981616,-87.70884424604687,POINT (-87.70884424604687 41.919468897981616)
11CP024049,P002165386|P002165387,05/03/2011,POLICE,07/01/2011 02:00:00 PM,12863 S NORMAL ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.65966224784699,-87.63393730049602,POINT (-87.63393730049602 41.65966224784699)
11CP026554,P002109256,05/27/2011,POLICE,07/01/2011 09:00:00 AM,5700 S ABERDEEN ,13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",Not liable - City failed to meet burden of proof,800.00,0.00,27.96,236.88,26.09,1130.93,1125.00,0.00,41.79047358708863,-87.65249718861547,POINT (-87.65249718861547 41.79047358708863)
11CP054441,P003018262|P003018263|P003018264,08/25/2011,POLICE,10/07/2011 09:00:00 AM,5035 S RACINE ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80222309496589,-87.65493156629385,POINT (-87.65493156629385 41.80222309496589)
11CP063728,P003007973|P003007974,09/25/2011,POLICE,11/04/2011 09:00:00 AM,6415 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,2800.00,0.00,40.35,800.88,20.00,3701.23,3883.69,-185.01,41.777393330177546,-87.64822140158856,POINT (-87.64822140158856 41.777393330177546)
11CP065778,P003060284|P003060286,10/04/2011,POLICE,11/04/2011 01:00:00 PM,501 W CRYSTAL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO, ",City non-suit,1300.00,0.00,32.26,237.23,0.00,1609.49,3257.40,-1647.91,,,
11CP079197,P003059852|P003059853|P003059854|P003059855,11/28/2011,POLICE,01/06/2012 01:00:00 PM,1725 N MAYFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.9118846821849,-87.77265515630052,POINT (-87.77265515630052 41.9118846821849)
12CP001672,P003141063|P003141066,12/28/2011,POLICE,02/03/2012 09:00:00 AM,5319 S BISHOP ,13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA NTAL ASSN, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79712739648366,-87.66087654489898,POINT (-87.66087654489898 41.79712739648366)
12CP004477,P002037414|P002037415|P002037416|P002037417,01/09/2012,POLICE,02/03/2012 09:00:00 AM,2502 W 60TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78480791012269,-87.6863874628232,POINT (-87.6863874628232 41.78480791012269)
12CP009773,P003179843|P003179844,02/01/2012,POLICE,03/02/2012 01:00:00 PM,4517 W WILCOX ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"M B FINANCIAL BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87860507699202,-87.73857401053314,POINT (-87.73857401053314 41.87860507699202)
12CP012284,P003142126,02/15/2012,POLICE,04/06/2012 09:00:00 AM,5423 S WINCHESTER ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST, ",Not liable - City failed to establish prima facie case,3800.00,0.00,114.56,1082.88,0.00,5037.44,5189.31,-185.01,41.79506667911757,-87.67296949154296,POINT (-87.67296949154296 41.79506667911757)
12CP016975,P002169002|P002169003|P002169040|P002169041|P002169046|P002169047,03/03/2012,POLICE,04/06/2012 09:00:00 AM,7759 S HOMA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"PNC MORTGAGE, ",Default - Liable by prove-up,4300.00,0.00,66.34,1223.88,0.00,5630.22,5608.83,0.00,,,
